Date, Open, High, Low, Close
06/27/25, 6150.70, 6187.68, 6132.35, 6173.07
06/26/25, 6112.09, 6146.52, 6107.27, 6141.02
06/25/25, 6104.23, 6108.51, 6080.09, 6092.16
06/24/25, 6061.21, 6101.76, 6059.25, 6092.18
06/23/25, 5969.67, 6028.77, 5943.23, 6025.17
06/20/25, 5999.67, 6018.20, 5952.56, 5967.84
06/18/25, 5987.93, 6018.25, 5971.89, 5980.87
06/17/25, 6012.15, 6023.25, 5974.80, 5982.72
06/16/25, 6004.00, 6050.83, 6004.00, 6033.11
06/13/25, 6000.56, 6026.16, 5963.21, 5976.97
06/12/25, 6009.90, 6045.43, 6003.88, 6045.26
06/11/25, 6049.38, 6059.40, 6002.32, 6022.24
06/10/25, 6009.91, 6043.01, 6000.28, 6038.81
06/09/25, 6004.63, 6021.31, 5994.18, 6005.88
06/06/25, 5987.06, 6016.87, 5978.63, 6000.36
06/05/25, 5985.67, 5999.70, 5921.20, 5939.30
06/04/25, 5978.94, 5990.48, 5966.11, 5970.81
06/03/25, 5938.56, 5981.35, 5929.00, 5970.37
06/02/25, 5896.68, 5937.40, 5861.43, 5935.94
05/30/25, 5903.67, 5922.14, 5843.66, 5911.69
05/29/25, 5939.96, 5943.13, 5873.80, 5912.17
05/28/25, 5925.54, 5939.92, 5881.88, 5888.55
05/27/25, 5854.07, 5924.33, 5854.07, 5921.54
05/23/25, 5781.89, 5829.51, 5767.41, 5802.82
05/22/25, 5841.26, 5878.08, 5825.82, 5842.01
05/21/25, 5910.18, 5938.37, 5830.91, 5844.61
05/20/25, 5944.66, 5953.06, 5909.26, 5940.46
05/19/25, 5902.88, 5968.61, 5895.69, 5963.60
05/16/25, 5929.09, 5958.62, 5907.36, 5958.38
05/15/25, 5869.82, 5924.21, 5865.16, 5916.93
05/14/25, 5896.74, 5906.55, 5872.11, 5892.58
05/13/25, 5854.15, 5906.64, 5845.02, 5886.55
05/12/25, 5807.20, 5845.37, 5786.08, 5844.19
05/09/25, 5679.65, 5691.69, 5644.15, 5659.91
05/08/25, 5663.60, 5720.10, 5635.38, 5663.94
05/07/25, 5614.18, 5654.73, 5578.64, 5631.28
05/06/25, 5605.87, 5649.58, 5586.04, 5606.91
05/05/25, 5655.32, 5683.38, 5634.48, 5650.38
05/02/25, 5645.88, 5700.70, 5642.28, 5686.67
05/01/25, 5625.14, 5658.91, 5597.35, 5604.14
04/30/25, 5499.44, 5581.84, 5433.24, 5569.06
04/29/25, 5508.87, 5571.95, 5505.70, 5560.83
04/28/25, 5529.22, 5553.66, 5468.64, 5528.75
04/25/25, 5489.73, 5528.11, 5455.86, 5525.21
04/24/25, 5381.38, 5489.40, 5371.96, 5484.77
04/23/25, 5395.92, 5469.69, 5356.17, 5375.86
04/22/25, 5207.67, 5309.61, 5207.67, 5287.76
04/21/25, 5232.94, 5232.94, 5101.63, 5158.20
04/17/25, 5305.45, 5328.31, 5255.58, 5282.70
04/16/25, 5335.75, 5367.24, 5220.79, 5275.70
04/15/25, 5411.99, 5450.41, 5386.44, 5396.63
04/14/25, 5441.96, 5459.46, 5358.02, 5405.97
04/11/25, 5255.56, 5381.46, 5220.77, 5363.36
04/10/25, 5353.15, 5353.15, 5115.27, 5268.05
04/09/25, 4965.28, 5481.34, 4948.43, 5456.90
04/08/25, 5193.57, 5267.47, 4910.42, 4982.77
04/07/25, 4953.79, 5246.57, 4835.04, 5062.25
04/04/25, 5292.14, 5292.14, 5069.90, 5074.08
04/03/25, 5492.74, 5499.53, 5390.83, 5396.52
04/02/25, 5580.76, 5695.31, 5571.48, 5670.97
04/01/25, 5597.53, 5650.57, 5558.52, 5633.07
03/31/25, 5527.91, 5627.56, 5488.73, 5611.85
03/28/25, 5679.20, 5685.89, 5572.42, 5580.94
03/27/25, 5695.64, 5732.28, 5670.94, 5693.31
03/26/25, 5771.66, 5783.62, 5694.41, 5712.20
03/25/25, 5775.96, 5786.95, 5760.42, 5776.65
03/24/25, 5718.08, 5775.14, 5718.08, 5767.57
03/21/25, 5630.73, 5670.84, 5603.10, 5667.56
03/20/25, 5646.92, 5711.15, 5632.33, 5662.89
03/19/25, 5632.37, 5715.33, 5622.20, 5675.29
